# Resultfile Programm VECTO_CSE 2.0.1-beta0 Comp 23/06/2014
# Datafile: ,d:\Work\vecto-cse.git\CSE\bin\Debug\DemoData\DataDemo_CAL.csdat
#
# Results
# fv_veh:,0.970873786407766
# fv_veh_opt2:,0.969525450405305
# fv_pe:,0.536281150040195
# beta_ame:,-0.0146402089298575
#
SecID [-],DirID [-],delta t [s],length [m],delta s [m],v (s) [km/h],v (GPS) [km/h],v_veh_CAN [km/h],v_veh [km/h],vair_ar [m/s],vair_ic [m/s],vair_uf [m/s],beta_ar [°],beta_ic [°],beta_uf [°],valid [-],used [-],vair [m/s],v_wind_avg [m/s],v_wind_1s [m/s],v_wind_1s_max [m/s],beta_avg [°],Satelites [#]
1,1,11.2999999999956,250.64,251.06156111111,79.8499115044556,79.980893015031,82.3803198054819,79.9808930150309,19.2047323410964,38.4094646821927,20.5982718921946,4.58733863837312,4.58733863837312,4.60197884730294,1,1,20.9205584600433,2.05144694029172,2.06078827658996,2.48821778703183,3.59825941679147,10
2,1,10.9800000000032,250.64,250.912308333333,82.1770491803039,82.2683703366696,84.7364214467697,82.2683703366694,20.7004457082166,41.4008914164331,22.202517661494,4.24483166515014,4.24483166515014,4.25947187407998,1,1,22.3246370976915,1.75288731461579,1.74951110158143,2.50600536187054,3.36080419011004,10
2,2,10.6399999999994,250.64,251.079975000004,84.8030075188016,84.9518938967139,87.500450713615,84.9518938967137,24.4830147104789,48.9660294209578,26.2595585707733,-2.99528638497653,-2.99528638497653,-2.98064617604665,1,1,25.6975425602985,2.96381046383982,2.95859223911614,4.04875682052309,-2.4118413203022,10
1,2,10.6200000000026,250.64,250.653049999998,84.9627118643858,84.9671843838193,87.5161999153339,84.9671843838193,24.3854412041392,48.7708824082784,26.1549049063867,-3.94731890874883,-3.94731890874883,-3.93267869981895,1,1,25.6141012814203,2.71482671240834,2.73571044973458,3.11133120406284,-3.17781213238794,10
1,1,10.6600000000035,250.64,251.305150000007,84.6439024389967,84.8684414245547,87.4144946672915,84.8684414245545,20.423548474433,40.847096948866,21.9055281275412,3.10311152764761,3.10311152764761,3.11775173657748,1,1,22.2395970577366,2.15758798287004,2.15596252162967,3.01095054219496,2.44244069604741,11
2,1,10.6299999999974,250.64,250.740250000003,84.8827845719871,84.9167556390976,87.4642583082707,84.9167556390975,20.8091613408552,41.6183226817105,22.3191219504917,4.53062969924812,4.53062969924812,4.54526990817795,1,1,22.5683791277934,2.04684556737981,2.04887668260274,2.6707528319135,3.56858096370439,11
2,2,10.6399999999994,250.64,251.161469444402,84.8030075188016,84.9794525821593,87.5288361596245,84.9794525821593,25.2851661971831,50.5703323943662,27.1199160143656,-3.64835680751174,-3.64835680751174,-3.63371659858185,1,1,26.3810037625997,3.4025448111635,3.39375281916646,4.73290350946043,-2.95609886931979,11
1,2,10.6299999999974,250.64,250.883047222233,84.8827845719871,84.9650827067666,87.5140351879699,84.9650827067665,25.5052321428571,51.0104642857142,27.3559504512272,-4.3468515037594,-4.3468515037594,-4.33221129482955,1,1,26.5665260811242,3.46402443986083,3.45904609996253,3.87962695918893,-3.52803976643078,11
1,1,10.6699999999983,250.64,251.389638888875,84.564573570773,84.8172659176031,87.3617838951312,84.817265917603,20.9580187265918,41.9160374531836,22.4787807705212,4.37001872659176,4.37001872659176,4.3846589355216,1,1,22.6897812331174,1.91566960075542,1.91948450178784,2.57163386999929,3.45037263594077,10.9578651685393
2,1,10.6100000000006,250.64,250.522013888905,85.042789820919,85.0027608286254,87.5528436534842,85.0027608286253,20.1733860117326,40.3467720234652,21.6372133011535,2.06714689265537,2.06714689265537,2.08178710158524,1,1,22.0347477291324,2.1643906782952,2.16218964307667,2.90537070431992,1.62906522257328,11
2,2,10.6399999999994,250.64,251.287411111072,84.8030075188016,85.0221014084504,87.5727644507042,85.0221014084503,22.9512412102254,45.9024824204507,24.6166360621392,-2.84734272300469,-2.84734272300469,-2.83270251407481,1,1,24.3981916289737,2.2784365004619,2.28011873674138,3.15243551237854,-2.26319115383399,11
1,2,10.6200000000026,250.64,250.701952777805,84.9627118643858,84.9837347130762,87.5332467544686,84.9837347130761,22.0684923173472,44.1369846346943,23.6698328792003,-2.97273753527752,-2.97273753527752,-2.95809732634764,1,1,23.6448681120931,2.53164629963977,2.53163960024531,4.7728272572806,-2.35774344767187,11
1,1,10.6500000000015,250.64,251.246211111125,84.7233802816786,84.9282185741085,87.476065131332,84.9282185741085,21.0841275797373,42.1682551594747,22.6140403721115,2.67296435272045,2.67296435272045,2.68760456165032,1,1,22.8054085139022,1.75620604512164,1.75093033284061,2.11669361295276,2.11854799714766,11
2,1,10.6199999999953,250.64,250.740211111053,84.962711864444,84.9967460018813,87.546648381938,84.9967460018812,19.9295717047883,39.8591434095767,21.3757072673048,3.18634995296331,3.18634995296331,3.20099016189319,1,1,21.8271499334462,2.29191380301035,2.29455661202474,2.69500466966294,2.49381558235465,11
2,2,10.6400000000067,250.64,251.261583333351,84.8030075187436,85.0132826291077,87.5636811079812,85.0132826291076,23.8435797078967,47.6871594157934,25.5737246936518,-3.60260093896714,-3.60260093896714,-3.58796073003725,1,1,25.1563346989473,2.92164117409983,2.91396854500408,3.89769192883227,-2.88661461847264,12
1,2,10.6200000000026,250.64,250.772691666763,84.9627118643858,85.0077262464721,87.5579580338664,85.0077262464719,21.655141841778,43.310283683556,23.2264887423845,-2.08508936970837,-2.08508936970837,-2.0704491607785,1,1,23.295669766807,2.16141978932772,2.15602575168964,2.55739486061537,-1.63997716422231,11.9736594543744
1,1,11.010000000002,250.64,251.42269444454,81.9531335149712,82.2046869328493,84.6708275408348,82.2046869328492,20.0300408348458,40.0600816696916,21.4834666685263,3.54302177858439,3.54302177858439,3.55766198751427,1,1,21.7519193705405,1.83603227630758,1.83442035531111,2.30425457666498,2.79093211919706,12
