# Resultfile Programm VECTO_CSE 2.0.1-beta0 Comp 23/06/2014
# Datafile: ,d:\Work\vecto-cse.git\CSE\bin\Debug\DemoData\DataDemo_CAL.csdat
#
Time [s],Lat [mm.mm],Long [mm.mm],Heading [¡],v_veh_GPS [km/h],v_veh_CAN [km/h],vair_ar [m/s],beta_ar [¡],n_eng [rpm],tq_l [Nm],tq_r [Nm],t_amb_veh [¡C],t_tire [¡C],Satelites [#],Zone (UTM) [-],Lat (UTM) [m],Long (UTM) [m],Sec_ID [-],Dir_ID [-],Lat (root) [m],Long (root) [m],dist (root) [m],slope_deg [°],altitude [m],v_veh [km/h],dist [m],vair_ic [m/s],vair_uf [m/s],vair [m/s],beta_ic [°],beta_uf [°],beta [°],vwind_ha [m/s],vwind [m/s],vwind 1s [m/s]
41387,2873.75860425743,456.511784554455,45,33.4361881188119,34.4392737623762,5.73606930693069,-5.4949504950495,1211.06930693069,4366.40099009901,5412.31485148515,20,40,9,32,5305675.659292,395995.102545403,0,0,0,0,0,0,0,33.4361881188118,59.2331635863586,11.4721386138614,6.15229168926211,6.7946305226757,-5.4949504950495,-5.48031028611965,-3.97404050324266,3.22268095369904,2.55676013045744,2.5459942130498
41388,2873.7619370297,456.517594950495,45,35.1222772277228,36.1759455445545,6.32776237623762,-5.26376237623763,1714.23267326733,3888.73960396039,4625.03069306931,20,40,9,32,5305681.70228838,396002.451915233,0,0,0,0,0,0,0,35.1222772277227,68.7689496149615,12.6555247524752,6.78691936861958,7.39482327996032,-5.26376237623763,-5.24912216730777,-3.85767670199372,3.06750458931214,2.43364873738009,2.46661126933405
41389,2873.76537653465,456.523843168317,45,37.4892772277228,38.6139555445545,6.12880253025742,-4.67128712871287,1902.89603960396,5059.0603960396,6062.36435643564,20,40,9.33663366336634,32,5305687.93317169,396010.350233935,0,0,0,0,0,0,0,37.4892772277227,78.8351699669966,12.2576050605148,6.57352253859142,7.36197566438825,-4.67128712871287,-4.65664691978302,-3.33943612783254,3.9071881065449,3.0998236923035,3.05718957986652
41390,2873.76897712871,456.53062950495,45,39.9259306930693,41.1237086138614,6.57963311331683,-2.69485148514852,1825.27227722772,4715.27326732673,5453.94950495049,20,40,10,32,5305694.4503797,396018.924254608,0,0,0,0,0,0,0,39.9259306930692,89.6031348459845,13.1592662266337,7.0570664257042,7.88594193654915,-2.69485148514852,-2.68021127621866,-1.9147416270145,4.09526618416192,3.24903813120485,3.27028962665605
41391,2873.77274059406,456.537894455446,45,42.3887623762376,43.6604252475247,7.01719801983168,-3.1109900990099,1515.89603960396,5241.67722772277,5474.55841584159,20,40,10,32,5305701.25855204,396028.099906997,0,0,0,0,0,0,0,42.3887623762376,101.03006069857,14.0343960396634,7.52638204827023,8.39918961005042,-3.1109900990099,-3.09634989008005,-2.22892133158243,4.31697776317601,3.42493619056233,3.42553580550782
41392,2873.7767339604,456.545593564356,45,44.8273267326733,46.1721465346535,7.51802805277228,-4.78891089108911,1588.5396039604,5316.32871287129,4938.67128712871,20,40,10,32,5305708.48285115,396037.824045602,0,0,0,0,0,0,0,44.8273267326732,113.15311729923,15.0360561055446,8.06355346035034,8.96352712477583,-4.78891089108911,-4.77427068215926,-3.44988370940367,4.48413500273978,3.55755278270231,3.54219940293863
41393,2873.78097871287,456.553654554455,45,47.0813366336634,48.4937767326733,8.09227832781188,-4.39485148514852,1672.21782178218,5253.44554455446,4633.19702970297,20,40,10,32,5305716.16469944,396048.00734667,0,0,0,0,0,0,0,47.0813366336633,125.924023679868,16.1845566556238,8.67947265616861,9.58185802417377,-4.39485148514852,-4.38021127621866,-3.18362898001356,4.49556634214561,3.56662199968359,3.55919306136641
41394,2873.7854529703,456.562073069307,45,49.2465940594059,50.7239918811881,8.71713806382178,-3.74980198019802,1749.25247524752,5037.24554455446,4552.31881188119,20,40,10,32,5305724.26366558,396058.643649091,0,0,0,0,0,0,0,49.2465940594059,139.306033553355,17.4342761276436,9.34967365185101,10.2380017990719,-3.74980198019802,-3.73516177126817,-2.7337763136487,4.4324616158693,3.51655696051131,3.51967908817553
41395,2873.79013831683,456.570842475247,45,51.303603960396,52.8427120792079,9.28129537957426,-3.41881188118812,1819.70792079208,4827.47326732673,4457.91188118812,20,40,10,32,5305732.74578839,396069.724070731,0,0,0,0,0,0,0,51.303603960396,153.271923789879,18.5625907591485,9.95476752004167,10.8362518213217,-3.41881188118812,-3.40417167225826,-2.50339811619967,4.40294127467949,3.49313657466611,3.49284236800188
41396,2873.79499871287,456.579980495049,45,53.2129702970297,54.8093594059406,10.0956490648218,-1.69554455445545,1887.30693069307,4423.34356435643,4252.71782178218,20,40,10,32,5305741.54391514,396081.269482647,0,0,0,0,0,0,0,53.2129702970296,167.796914053905,20.1912981296436,10.8282125817697,11.6389048109018,-1.69554455445545,-1.68090434552559,-1.24488121421889,4.07642554315038,3.2340906385853,3.25091421065783
