# Resultfile Programm VECTO_CSE 2.0.1-beta0 Comp 23/06/2014
# Datafile LS1: ,d:\Work\vecto-cse.git\CSE\bin\Debug\DemoData\DataDemo_LS1.csdat
# Datafile HS: ,d:\Work\vecto-cse.git\CSE\bin\Debug\DemoData\DataDemo_HS.csdat
# Datafile LS2: ,d:\Work\vecto-cse.git\CSE\bin\Debug\DemoData\DataDemo_LS2.csdat
#
# Results
# fv_veh:,0.970873786407766
# fv_veh_opt2:,0.969525450405305
# fv_pe:,0.536281150040195
# beta_ame:,-0.0146402089298575
#
SecID [-],DirID [-],RunID [-],HeadID [-],delta t [s],length [m],delta s [m],v (s) [km/h],v (GPS) [km/h],v_veh_CAN [km/h],v_veh [km/h],vair_ar [m/s],vair_ic [m/s],vair_uf [m/s],beta_ar [°],beta_ic [°],beta_uf [°],valid [-],used [-],val_User [-],val_vVeh_avg [-],val_vVeh_f [-],val_vVeh_1s [-],val_vWind [-],val_vWind_1s [-],val_tq_f [-],val_tq_1s [-],val_beta [-],val_dist [-],vair [m/s],v_wind_avg [m/s],v_wind_1s [m/s],v_wind_1s_max [m/s],beta_avg [°],beta_abs [°],v_air_sq [m2/s2],n_eng [rpm],omega_wh [rad/s],omega_p_wh [rad/s2],tq_sum [Nm],tq_sum_1s [Nm],tq_sum_1s_max [Nm],tq_sum_1s_min [Nm],tq_sum_float [Nm],tq_sum_float_max [Nm],tq_sum_float_min [Nm],t_float [s],F_trac [N],F_acc [N],F_grd [N],F_res [N],F_res_ref [N],v_veh_1s [km/h],v_veh_1s_max [km/h],v_veh_1s_min [km/h],v_veh_avg [km/h],a_veh_avg [m/s2],v_veh_float [km/h],v_veh_float_max [km/h],v_veh_float_min [km/h],t_amb_veh [°C],t_amb_stat [°C],p_amb_stat [mbar],rh_stat [%],vp_H2O [Pa],rho_air [kg/m3],t_tire [°C],p_tire [bar],F0_ref_singleDS [N],F2_ref_singleDS [N],F0_singleDS [N],CdxA_singleDS [m2],RRC_singleDS [kg/t],Satelites [#]
2,2,0,2,10.6399999999994,250.64,251.430513888892,84.8030075188016,85.0704253521128,87.6225381126761,85.0704253521127,21.3778530515681,42.7557061031362,22.9290792397704,0.269408450704225,0.269408450704225,0.284048659634077,1,1,1,1,1,1,1,1,1,1,1,1,23.0690877334057,1.69051072625467,1.68385819130462,2.42767941283422,0.22999332940625,0.22999332940625,534.29382190504,1841.12253521127,53.5560836201698,-0.000983284085630606,1348.32731184394,1347.32738738833,1377.09716986931,1322.9026784901,1347.28289934365,1377.00261326952,1322.99723562,1.05794739423801,3055.82940190916,-52.2221059212319,0,3055.82940190916,3023.84553456977,85.0711874029655,85.110613861386,85.011613861386,85.0711874029655,-0.00208078319569064,85.0712014755197,85.1098476190474,85.0116190476189,20,24.9000000000004,1015.19999999998,38.500985915493,1214.9865781568,1.20096999393732,40,0,1257.8413580746,3.30543332167801,1271.14581780004,5.56282941409794,5.18306143853228,9
1,2,0,2,10.6200000000026,250.64,250.7602138888,84.9627118643858,85.0035522107245,87.5536587770462,85.0035522107243,20.2363475488805,40.4726950977611,21.7047434722535,-1.13737535277517,-1.13737535277517,-1.1227351438453,1,1,1,1,1,1,1,1,1,1,1,1,22.0938380980929,2.14649827534867,2.13614856484336,2.86776173374729,-0.874135686992451,0.874135686992451,490.22078786582,1840.41204139229,53.5354161927427,-0.000259965943774634,1354.38083325099,1354.66302372449,1377.09740442277,1322.90258140594,1354.65430572322,1377.00284700286,1322.99713887524,1.05877977903497,3070.7742148574,-15.2086177363569,0,3070.7742148574,3038.48100454574,85.0029402866908,85.0260396039603,84.970712871287,85.0029402866908,-0.000606198907754965,85.0029349639385,85.0271333333332,84.971257142857,20,24.9000000000004,1015.19999999998,38.0752126058326,1201.55032855763,1.20103043725406,40,0,1240.83629280784,3.66718103292815,1254.02399656707,6.17162729709481,5.11324769242434,9
1,1,0,1,10.6699999999983,250.64,251.377986111094,84.564573570773,84.8134119850188,87.3578143445692,84.8134119850187,20.0235470245318,40.0470940490637,21.4765016523998,-0.532265917602996,-0.532265917602996,-0.51762570867314,1,1,1,1,1,1,1,1,1,1,1,1,21.9021241357672,2.2875295118389,2.28278604295591,3.01069684756015,-0.393929340083123,0.393929340083123,481.997643811601,1835.30805243446,53.3869471722434,3.40459045722986E-05,1353.94750618277,1355.92486768707,1437.33123961881,1322.90281448911,1356.00518452229,1439.19814367524,1322.99737114571,1.06115530902951,3068.14385942068,241.610870526355,0,3068.14385942068,3036.54268305222,84.8127714057922,84.9480198019801,84.5772475247523,84.8127714057922,0.00966407502173544,84.8128014807092,84.9475428571427,84.5756190476189,20,25.0999999999996,1015.09999999999,38.6257806179775,1233.5472622799,1.20076766098096,40,0,1282.83635395829,3.63748569940111,1296.18677978947,6.12165198108336,5.28516525908042,10
2,1,0,1,10.6200000000026,250.64,250.702419444424,84.9627118643858,84.9839096895579,87.5334269802447,84.9839096895577,19.5422784571214,39.0845569142427,20.9603111307816,-1.06029162746943,-1.06029162746943,-1.04565141853956,1,1,1,1,1,1,1,1,1,1,1,1,21.5022631237575,2.43882853385202,2.44217943292068,3.00989256668419,-0.808636918391304,0.808636918391304,463.59686759374,1839.15616180621,53.4988841364333,-5.47296723736082E-05,1350.26399923706,1348.71336783289,1377.09740668416,1307.08685190792,1348.64561957761,1377.00284925619,1303.16536753619,1.0590248708328,3060.06446663371,51.2946356959656,0,3060.06446663371,3028.5603302631,84.9836283822171,85.0595445544553,84.9458019801979,84.9836283822171,0.00205222780039078,84.9835783004075,85.0581999999999,84.9465047619047,20,25.0999999999996,1015.09999999999,38.6639320790216,1234.76566174187,1.20076217997943,40,0,1271.72479242862,3.78868798333803,1284.95371538789,6.37611559620056,5.23936275387518,10
2,2,0,2,10.6399999999994,250.64,251.24877777767,84.8030075188016,85.0090187793426,87.5592893427229,85.0090187793425,22.1709260302348,44.3418520604695,23.7796994179008,-1.65641314553991,-1.65641314553991,-1.64177293661003,1,1,1,1,1,1,1,1,1,1,1,1,23.7400320337144,2.19390837524847,2.18827968071212,3.08619890513039,-1.30880867367632,1.30880867367632,568.006317653843,1840.23145539906,53.5301631591348,-0.00113350804315751,1354.3327972431,1354.09355230932,1377.09739774257,1322.90269384752,1354.06653531353,1377.00284034571,1322.99725092381,1.05871159993842,3070.18453336373,-56.9149240048496,0,3070.18453336373,3038.53585605959,85.009882973086,85.0476435643563,84.9566039603959,85.009882973086,-0.00226736288652336,85.0099109054325,85.0451428571428,84.956619047619,20,25.0284536150235,1015.09999999999,38.7176680751173,1231.22087094946,1.2007781263126,40,0,1261.1274352913,3.12934638846753,1274.26304307403,5.2664865518543,5.19577183720296,10
1,2,0,2,10.6199999999953,250.64,250.805083333298,84.962711864444,85.018673565381,87.5692337723423,85.0186735653809,21.5150834117309,43.0301668234619,23.0762673505076,-0.935503292568204,-0.935503292568204,-0.920863083638321,1,1,1,1,1,1,1,1,1,1,1,1,23.182910343625,2.15641918411002,2.1639205677689,3.26663576942512,-0.734342120487278,0.734342120487278,541.649190031,1840.35559736595,53.5337743025714,0.00038994891566195,1348.79473724836,1349.08530982008,1388.83157386139,1322.90258527525,1349.09579455436,1388.39462396286,1322.99714273048,1.05859181741128,3057.48041667236,30.2312833372855,0,3057.48041667236,3025.93440469864,85.0174542533274,85.0946534653464,84.9400198019801,85.0174542533274,0.00120605898783596,85.0174073825201,85.0939428571427,84.9370761904761,20,25,1015.09999999999,38.7047821260583,1228.72499338077,1.20078935408247,40,0,1249.33415340372,3.28013133045911,1262.3587285899,5.52024780760639,5.14723232860307,10
1,1,0,1,10.6399999999994,250.64,251.067763888832,84.8030075188016,84.9477154929579,87.4961469577464,84.9477154929577,21.5078877412394,43.0157754824789,23.0685495456146,1.53055399061033,1.53055399061033,1.54519419954021,1,1,1,1,1,1,1,1,1,1,1,1,23.1725046678819,1.40897596892882,1.42021791848118,2.35886418725268,1.22644711628502,1.22644711628502,538.005861526891,1838.30657276995,53.4741705931475,0.000805746681280637,1353.33444385991,1353.40842807576,1377.09735438515,1322.90277607723,1353.40308108308,1377.00279714095,1322.99733286762,1.05947640219964,3066.90836724786,137.144266039178,0,3066.90836724786,3035.38353815871,84.9477200855296,85.0693465346534,84.8319999999999,84.9477200855296,0.00547911598671488,84.947725902079,85.0704761904762,84.8297523809523,20,24.9000000000004,1015.09999999999,39.2664338028169,1239.14203514739,1.20074249275034,40,0,1286.76758764115,3.24947275862447,1300.13167417845,5.46865142413756,5.30125045536573,11
2,1,0,1,10.6200000000026,250.64,250.890833333297,84.9627118643858,85.0478062088429,87.5992403951082,85.0478062088428,18.858271088476,37.716542176952,20.2266706141954,-1.05276575729069,-1.05276575729069,-1.03812554836081,1,1,1,1,1,1,1,1,1,1,1,1,20.923672857127,2.87101437959431,2.86341645953182,3.06610614779107,-0.798494546033812,0.798494546033812,438.053764020118,1840.04797742239,53.5248260011384,-0.000670438486576686,1346.19316983321,1343.58089185739,1377.09740911089,1262.3727834297,1343.49084801022,1377.00285167524,1262.44160794476,1.05822891352598,3050.01658882238,-14.0830996227211,0,3050.01658882238,3018.72761918534,85.0467686074346,85.0936039603959,85.0096831683167,85.0467686074346,-0.000557816835303743,85.0467203960041,85.0902095238094,85.0110857142856,20,24.9000000000004,1015.09999999999,39.4407930385701,1244.64433921001,1.20071774049304,40,0,1269.15520184669,3.99294908249168,1282.30993575607,6.71987374829394,5.22858281653851,11
2,2,0,2,10.6399999999994,250.64,251.330424999953,84.8030075188016,85.0366338028169,87.5877328169012,85.0366338028168,23.1853416797183,46.3706833594366,24.8677234001484,-1.96813145539906,-1.96813145539906,-1.95349124646918,1,1,1,1,1,1,1,1,1,1,1,1,24.6047826297869,2.12884184172336,2.13485123303647,3.20015327499046,-1.56997743896495,1.56997743896495,608.448218243172,1840.21314553991,53.5296305469217,-0.000232164297996117,1345.99909856714,1346.08961885098,1379.24193883168,1322.90258264356,1346.11841079568,1379.55847549619,1322.99714010857,1.05836777188041,3050.25392792913,-66.5654818680664,0,3050.25392792913,3019.40092479331,85.0374236694091,85.1086237623761,84.9976633663365,85.0374236694091,-0.00266079424843901,85.0374426827632,85.1081238095237,84.9963809523808,20,24.7999999999995,1015,40.0702267605634,1256.98187364926,1.20054340253668,40,0,1265.73800599239,2.88234595488608,1278.67163741157,4.85080087814533,5.21374775702986,11
1,2,0,2,10.6200000000026,250.64,250.801519444456,84.9627118643858,85.0174863593603,87.5680109501413,85.0174863593602,23.3855033971026,46.7710067942051,25.0824093121341,-2.6009219190969,-2.6009219190969,-2.58628171016701,1,1,1,1,1,1,1,1,1,1,1,1,24.773752542989,2.05928681335289,2.06328184266313,3.3070002435115,-2.07432177210922,2.07432177210922,615.989119477041,1839.56632173095,53.5108152050108,0.000725168158950293,1353.00961823452,1353.60565381124,1377.09733039208,1322.90281592574,1353.61867918325,1377.00277323143,1322.99737257619,1.05860630849382,3065.75561101845,7.14999871035977,0,3065.75561101845,3034.9925411392,85.0174685692464,85.0529207920791,84.9942475247523,85.0174685692464,0.000280072692124365,85.0174728665501,85.0525999999999,84.9953333333332,20,24.7999999999995,1015,40.761845625588,1278.67759256806,1.20044580378333,40,0,1258.01435985056,2.88487675968664,1270.76575318567,4.8550600581123,5.18151173572138,11
