Resultfile Programm VECTO_CSE 2.0.1-pre2 Comp 04/06/2014
Datafile: ,d:\Work\vecto-cse.git\CSE\bin\Debug\DemoData\DataDemo_LS1.csdat

Time,Lat,Long,Heading,v_veh_GPS,v_veh_CAN,vair_ar,beta_ar,n_eng,tq_l,tq_r,t_amb_veh,t_tire,Satelites,Zone (UTM),Lat (UTM),Long (UTM),Sec_ID,Dir_ID,Lat (root),Long (root),dist (root),slope_deg,altitude,v_veh,dist,vair_ic,vair_uf,vair,beta_ic,beta_uf,beta,vwind_ha,vwind,vwind 1s,omega_wh,omega_p_wh,tq_sum,tq_sum_1s,tq_sum_float,t_float,F_trac,F_acc,F_grd,F_res,v_veh_1s,v_veh_avg,a_veh_avg,v_veh_float,t_amp_stat,p_amp_stat,rh_stat,vair_sq
[s],[mm.mm],[mm.mm],[°],[km/h],[km/h],[m/s],[°],[rpm],[Nm],[Nm],[°C],[°C],[#],[-],[m],[m],[-],[-],[m],[m],[m],[°],[m],[km/h],[m],[m/s],[m/s],[m/s],[°],[°],[°],[m/s],[m/s],[m/s],[rad/s],[rad/s2],[Nm],[Nm],[Nm],[s],[N],[N],[N],[N],[km/h],[km/h],[m/s2],[km/h],[°C],[mbar],[%],[m/s]
44432,2873.93401356436,456.84596980198,45,15.0166237623762,15.4671224752475,1.88182178217822,-3.5,748.779531417822,318.262270030693,311.231576827723,20,40,9,32,5305993.0900861,396417.235827548,0,0,0,0,0,0,0,15.0166237623762,37.669110011001,1.88182178217822,2.01837109903445,2.4623334170703,-3.5,-3.48535979107015,-2.32423178340415,2.16025058599811,1.71386576872825,1.72788506745372,8.71244546318755,-0.000491895065581347,629.493846858416,630.354315247495,649.000301332635,5.99339821593675,1314.81937563704,175.583730139406,0,1314.81937563704,15.0183357513969,15.0183357513969,0.00702681654304373,15.0343341436727,24.6,1015.3,39.6999999999999,6.08473163720854
44433,2873.93540891089,456.848620792079,45,15.0357326732673,15.4868046534653,1.67180198019802,-3.5,750.455837663366,309.773860359406,323.230493487129,20,40,9,32,5305995.61547249,396420.584425635,0,0,0,0,0,0,0,15.0357326732673,41.844036991199,1.67180198019802,1.79311177716014,2.28475898740857,-3.5,-3.48535979107015,-2.23965940192639,2.38939492589763,1.89566071547984,1.88911181146441,8.73195017202521,8.55469676767522E-05,633.004353846535,633.717516188099,649.159392029165,5.98575982569323,1323.39474424374,111.151759757572,0,1323.39474424374,15.0357876678757,15.0357876678757,0.00444537027960221,15.0386453294349,24.6,1015.3,39.6999999999999,5.24686196671552
44434,2873.93680356436,456.851276732673,45,15.0534455445545,15.5050489108911,1.60992079207921,-3.5,749.628712871287,315.284293252475,336.856286268317,20,40,9,32,5305998.13946631,396423.939164316,0,0,0,0,0,0,0,15.0534455445544,46.0238031628162,1.60992079207921,1.72674034769972,2.23313054884348,-3.5,-3.48535979107015,-2.21469529489461,2.4602577580339,1.95188075914546,1.93089451743063,8.72232613806077,0.00153984542970181,652.140579520792,652.050757653319,650.110526115373,5.97871290464441,1360.33200776964,65.5710408691191,0,1360.33200776964,15.0559838251152,15.0559838251152,0.00261139975383949,15.0453458004465,24.6,1015.3,39.6999999999999,5.00112216611359
44435,2873.93820039604,456.853930594059,45,15.0633366336634,15.5152367326733,1.80515841584158,-3.5,751.187383588119,329.727302126732,339.581464137624,20,40,9,32,5306000.66754333,396427.291382517,0,0,0,0,0,0,0,15.0633366336634,50.2065918591858,1.80515841584158,1.93614486250452,2.39979166251477,-3.5,-3.48535979107015,-2.29458587544084,2.25484189896354,1.78891114279795,1.83275982232926,8.74046209536952,-0.00171093937081547,669.308766264357,668.498541992059,651.004010746661,5.97478367536822,1398.10281622093,7.60726401830384,0,1398.10281622093,15.0611232232134,15.0611232232134,0.000317234693762605,15.0589277272345,24.6,1015.3,39.6999999999999,5.77407822792627
44436,2873.9396039604,456.856578415842,45,15.0589603960396,15.5107292079208,1.35487128712871,-0.315841584158416,750.470542108911,339.824051232673,328.900511119802,20,40,9,32,5306003.20822853,396430.636298399,0.801980198019802,0.801980198019802,4255309.47391257,317929.978398499,1.35236077922952,0,0,15.0589603960396,54.3903974147414,1.35487128712871,1.45318386403565,2.01648259229373,-0.315841584158416,-0.301201375228561,-0.222062948098999,2.73401985034051,2.16907383934682,2.09979503608364,8.73212126601816,0.00113349733179721,668.724562352475,667.93885213634,650.964712388841,5.97652548319661,1395.95775854536,48.0352171350032,0,1395.95775854536,15.0596318988334,15.0596318988334,0.00191293881863536,15.0705600531078,24.6,1015.3,39.6999999999999,4.08641498915798
44437,2873.94101128713,456.859223168317,45,15.0788613861386,15.5312272277228,2.0350495049505,3.5,751.742476231683,336.29163599604,314.633446169307,20,40,9,32,5306005.75595347,396433.977513141,1,1,5306005.55862662,396434.138266204,5.46629531972303,0,0,15.0788613861386,58.5750955445544,2.0350495049505,2.18271737780716,2.59624970509359,3.5,3.51464020892985,2.38788673318625,2.01478137851233,1.5984556877266,1.65258220712168,8.74692089155872,0.00066298900669501,650.925082165347,650.886264358151,650.042588734503,5.96864294576723,1359.37293319046,164.796079067839,0,1359.37293319046,15.0793793745711,15.0793793745711,0.00658704484310004,15.0778022035542,24.6,1015.3,39.6999999999999,6.80307138883882
44438,2873.94242465347,456.86187039604,45,15.1000297029703,15.5530305940594,2.2639702970297,3.48465346534653,753.014410350495,322.37774270495,309.897343003961,20,40,9,32,5306008.31481239,396437.322008993,1,1,5306008.2171136,396437.401599682,9.67543993840603,0,0,15.1000297029703,62.7674445819582,2.2639702970297,2.42824918909586,2.79222640175692,3.48465346534653,3.49929367427639,2.45458645181919,1.7771675326836,1.40994133703909,1.38180078897524,8.7617205170532,-0.000149707200634521,632.275085708911,633.01884921593,649.051431972844,5.9602681378562,1320.74405794183,74.5146550223258,0,1320.74405794183,15.0980969512793,15.0980969512793,0.00298173381694584,15.0853898311429,24.6,1015.3,39.6999999999999,7.81719725209909
44439,2873.94384267327,456.864513762376,45,15.0922178217822,15.5449843564356,2.38583168316832,3.22683168316832,751.525585724752,310.874740675248,319.046553025742,20,40,9,32,5306010.88237936,396440.661846655,1,1,5306010.87679336,396440.666397312,13.8864730631861,0,0,15.0922178217822,66.9616748899889,2.38583168316832,2.55895311770368,2.89551486413399,3.22683168316832,3.24147189209817,2.30249283857984,1.64504598586309,1.3051208139596,1.3288337792019,8.74439725591722,-0.000598828779497406,629.92129370099,630.763825793207,648.944327247901,5.96334935004307,1313.92195307871,-61.7596734079283,0,1313.92195307871,15.0947678658955,15.0947678658955,-0.00246571686871873,15.0931761989673,24.6,1015.3,39.6999999999999,8.40497332938591
44440,2873.94526108911,456.867151287129,45,15.0949801980198,15.5478296039604,2.2269702970297,3.5,752.760758750495,312.358436927723,333.669334749505,20,40,9,32,5306013.45081242,396443.994417968,1,1,5306013.53326046,396443.927251356,18.0924196347362,0,0,15.0949801980198,71.1535138888888,2.2269702970297,2.38856438399289,2.7604512264113,3.5,3.51464020892985,2.45418690298517,1.81512439507664,1.44005495791503,1.41140085512515,8.75876914667123,-0.000149707200634509,646.027771677228,646.194452227899,649.790180038223,5.96225837774707,1349.44220650356,76.2829757628442,0,1349.44220650356,15.0952517400255,15.0952517400255,0.00305253297607181,15.0994404094819,24.5987376237624,1015.3,39.710099009901,7.64289403901416
44441,2873.94668445545,456.869785049505,45,15.110801980198,15.564126039604,2.32475247524753,3.26316831683168,753.962846778218,325.464727975248,340.321570077228,20,40,9,32,5306016.02850149,396447.322464291,1,1,5306016.19120416,396447.189917942,22.3007040771539,0,0,15.110801980198,75.3489792629261,2.32475247524753,2.49344186196907,2.8445917008791,3.26316831683168,3.27780852576154,2.31616569876147,1.71535986886912,1.36090534096378,1.39257180667481,8.77275607599295,0.00145429846778522,665.786298052475,665.123881735026,650.852195513522,5.956012645886,1391.52248926223,37.5127052679681,0,1391.52248926223,15.10859552985,15.10859552985,0.00148950538618063,15.1004372135271,24.59,1015.3,39.78,8.11779762899388
